Target,Var_4,Var_5,Var_6,Var_7,Var_10,Var_12,Var_13,Var_16,Var_17,Var_18,Var_19,Var_20,Var_21,Var_22,Var_23,Var_24,Var_25,Var_26,Var_29,Var_30,Var_31,Var_32,Var_33,Var_34,Var_40,Var_41,Var_42,Var_46,Var_2_1,Var_2_2,Var_2_3,Var_2_4,Var_2_6,Var_2_8,Var_2_L,Var_2_U,Var_3_Y,Var_9_MISSING,Var_9_P,Var_9_R,Var_11_N,Var_11_Y,Var_14_N,Var_14_Y,Var_15_Y,Var_35_Y,Var_36_1,Var_36_2,Var_36_3,Var_36_4,Var_36_6,Var_36_8,Var_36_D,Var_36_L,Var_36_U,Var_36_X,Var_37_Y,Var_44_Y,Var_45_Y,Var_48_Y,Var_49_Y,Var_50_N,Var_50_Y
0,1750.0,1,36.0,86,888.0,4.0,0,0.0,5000.0,523,201,1.0,1104.0,0.0,2700,2350,26.0,33,,2350.0,0,0,,1,,5.0,,,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1300.0,12,,13,20.0,4.0,0,0.0,0.0,0,1004,1.0,3.0,0.0,3000,1600,14.0,46,500.0,3000.0,1,0,,3,,15.0,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.0,0,,274,511.0,0.0,0,0.0,5000.0,2572,0,1.0,,1.0,1450,1600,,84,,3500.0,0,0,,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,800.0,3,37.0,6,0.0,45.0,0,0.0,0.0,935,176,3.0,5.0,0.0,1600,2030,25.0,108,,2030.0,0,0,,0,,,,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,6250.0,0,,126,32.0,8.0,0,0.0,7450.0,1300,2402,,,5.0,0,0,31.0,197,1850.0,,2,0,,8,,,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0.0,3,,139,35.0,1.0,1,0.0,3000.0,750,174,1.0,,5.0,3000,2000,,87,,3000.0,1,0,,13,,7.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0.0,9,,45,0.0,4.0,0,,1500.0,200,1730,5.0,111.0,5.0,1800,1800,26.0,45,700.0,2200.0,0,0,,3,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
0,,1,,201,0.0,9.0,0,0.0,,1790,0,1.0,0.0,0.0,1486,6000,,80,,6000.0,2,0,,7,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,3,,161,0.0,10.0,0,,0.0,1790,2027,1.0,,11.0,2130,2130,,75,,3650.0,0,0,,12,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1600.0,1,,17,773.0,0.0,2,0.0,0.0,794,0,1.0,200.0,8.0,3500,4200,24.0,3,,4200.0,0,0,,0,,3.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.0,1,,125,1920.0,24.0,2,0.0,1500.0,2496,0,4.0,201.0,11.0,1500,1700,14.0,11,,,0,0,,0,,3.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,2500.0,0,,34,0.0,8.0,0,0.0,0.0,188,0,3.0,,2.0,2000,2600,,41,,,0,0,,6,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0,7,,5,1038.0,24.0,0,,1000.0,650,0,3.0,500.0,0.0,3000,2000,26.0,0,,,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5110.0,3,19.0,0,25.0,1.0,0,65482.0,0.0,0,0,4.0,,,0,3400,16.0,134,,,0,0,,1,,,,,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0.0,9,,300,20.0,0.0,1,0.0,0.0,26552,8315,1.0,,9.0,100000,100000,32.0,194,,100000.0,0,0,,1,,8.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,0.0,5,,106,0.0,2.0,1,,700.0,361,396,2.0,,8.0,0,2350,,71,,,0,0,,1,,,,,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,7000.0,1,,0,123.0,4.0,0,0.0,0.0,0,997,2.0,208.0,,3500,3500,14.0,4,,4200.0,1,0,,4,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3500.0,2,,73,0.0,9.0,0,0.0,0.0,1185,502,1.0,,0.0,2500,1500,,50,,1500.0,1,0,,5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,,9,,55,0.0,11.0,0,0.0,,437,0,,,4.0,0,1311,,2,,,6,0,,3,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,9,,14,24.0,,0,,2000.0,613,0,1.0,305.0,2.0,2000,2000,2.0,14,,,1,0,,0,,14.0,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,4000.0,0,,132,0.0,20.0,0,0.0,6000.0,622,0,3.0,,1.0,0,1500,32.0,133,,,2,0,,1,,36.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5500.0,2,,63,3.0,40.0,0,0.0,5650.0,117,0,1.0,18.0,0.0,3500,2600,12.0,35,1500.0,2600.0,0,37771,,0,,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,8000.0,4,,132,100.0,3.0,0,0.0,10500.0,1488,16,1.0,111.0,2.0,3200,4000,5.0,133,2550.0,4000.0,1,32040,,1,,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0,1000.0,1,,224,672.0,8.0,0,0.0,0.0,850,0,1.0,318.0,4.0,2600,2800,12.0,59,,3000.0,0,71079,,4,,8.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,5500.0,4,,34,50.0,5.0,0,,0.0,1220,1746,1.0,112.0,0.0,2500,2600,26.0,31,750.0,3850.0,0,0,,9,,10.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,,0,,0,0.0,7.0,0,,,0,484,2.0,706.0,,1000,2200,5.0,66,,3000.0,1,0,,1,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,8,,136,0.0,25.0,0,0.0,3000.0,1356,1045,,,10.0,0,2314,36.0,102,,,1,0,,2,,11.0,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0.0,0,32.0,1,43.0,,0,,1300.0,0,497,1.0,2.0,0.0,1700,1500,17.0,126,500.0,,0,0,,0,,,,,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,,3,,170,350.0,29.0,0,,,1600,1,1.0,202.0,2.0,2500,2500,1.0,0,,3500.0,2,8776,,1,,,2.0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14000.0,1,,128,0.0,18.0,0,0.0,0.0,0,0,1.0,,1.0,1250,2100,,66,500.0,7100.0,2,0,,4,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0,3,,13,64.0,,1,,2000.0,150,124,1.0,104.0,1.0,2500,2500,25.0,12,1000.0,2500.0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,,2,,0,0.0,43.0,0,,,0,494,1.0,,,0,3126,,0,,,2,0,,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,0,,133,0.0,41.0,0,,,2000,0,,,0.0,0,0,,0,,,0,0,,2,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,10,,131,46.0,3.0,0,483.0,0.0,2610,1514,3.0,,0.0,5000,3500,,111,1000.0,3500.0,0,0,,5,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,10500.0,0,,185,2.0,0.0,0,0.0,14000.0,2216,1474,1.0,,0.0,2500,2600,,79,500.0,3500.0,2,0,,10,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,2250.0,1,,0,20.0,12.0,0,,0.0,0,0,5.0,,,1148,1318,,85,500.0,1318.0,0,0,,4,,14.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0.0,3,,48,0.0,7.0,0,0.0,0.0,1290,163,1.0,,3.0,0,600,12.0,129,,,4,0,,3,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,,5,,37,0.0,,1,0.0,,510,890,5.0,603.0,3.0,1200,1630,7.0,43,,3500.0,0,0,,0,,,,,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.0,4,,234,0.0,7.0,0,0.0,0.0,12303,3009,1.0,,13.0,4000,15000,32.0,65,,15000.0,0,0,,10,,,0.0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,,21,,61,0.0,5.0,2,0.0,,6260,0,3.0,,7.0,1500,20000,16.0,67,,,1,0,,2,,,4.0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.0,0,26.0,63,4.0,2.0,1,,0.0,1000,0,1.0,708.0,4.0,2000,1450,35.0,43,,3750.0,0,0,,2,,,,,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0,2,16.0,76,1.0,7.0,0,0.0,2600.0,210,0,5.0,508.0,0.0,2230,2230,28.0,65,850.0,2500.0,0,0,,0,,2.0,,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.0,0,,23,161.0,,0,,1000.0,700,0,5.0,,5.0,800,1027,,24,,1027.0,1,0,,0,,23.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.0,4,,128,1055.0,2.0,0,0.0,20000.0,6512,0,1.0,,0.0,6194,8000,,130,1500.0,8000.0,0,0,,4,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.0,0,,155,18342.0,6.0,0,0.0,0.0,229,0,1.0,,0.0,0,1500,,52,,,0,0,,1,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
